Feature ID,Domain,Super_Groups,Super_Kingdom,Kingdom,Phylum,Class,Family,Genus,species
76534a6f9c8d27a71bf0644b8d1cc41d,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
95626f146f2ad6d42354dfaa646f3b15,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
437fbc7bfa702d52557447c6433efee4,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
073c839d2b08ef74900b897738e97c92,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
fafc0124a6b8cdc034fa55a7ef77e3b6,Eukaryota,TSAR,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,Platyophrya,Unassigned
85e1f410a02c392ce2dae8040a84463b,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Unassigned,Unassigned
7e2935b4240fe744f997828eee48782a,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_pulex
17be70da23dce19e4b98e003201ea7c6,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a848e76e2d26c8deb4b87e25bb556545,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
2489121bc9661bacf9f52f626886cb9a,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Sporobolomyces,Sporobolomyces_gracilis
7d7139609c163625582b256ef64cd9fc,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
78b9ef381abe2d715e90d6f0b624a657,Eukaryota,Obazoa,Opisthokonta,Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
386185ef25dccc872d366c806605b2a6,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Paravahlkampfia,Paravahlkampfia_ustiana
b24bdd87f1750a525db378c33926a06c,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
89f4470df56a714f5dd185d118218503,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
abffe1c4a221b42fef3044369f161576,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
5475bbe0ede6819357193573e32a093e,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_2,Scuticociliatia_2_X,Cyclidium_3,Cyclidium_glaucoma
c8c79cf47ad2c30eb93f4e8cb6ea97b3,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
b9867998e5bb34ed62c19ee587630e2d,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
2aec72397e702bd99cfa4753339cc59e,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
d98c5055a1ae8e8b2029aef37bbd9a2c,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Scapholeberis,Scapholeberis_mucronata
613f21b122c31a32d33cdc3dba3f9cb0,Eukaryota,Amoebozoa,Discosea,Discosea_X,Centramoebia,Acanthopodida,Acanthamoebidae,Acanthamoeba,Unassigned
99cd850cbce4c836e353a4406fd5a66c,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Amphifilaceae_X,Amphifilaceae_X_sp.
52ac45e623eaabb883938dc7bfc5f14d,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Paravahlkampfia,Paravahlkampfia_ustiana
eb1a3f29b14c8f6352fb82c834ef0186,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Unassigned,Unassigned
ed5fc7da99dca967f25c588078988d09,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
640276324ddd5735709aea43427df44b,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
8fcbc2fd26dcfb5b5a40d606bd7c93f9,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
2b0443d1744f8af733423d76a918f555,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Unassigned,Unassigned
eb76ce48e23a8c88a0cb6dc38995b16b,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
585203395298fcbd688bbe2535735127,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Chlorochromonas,Chlorochromonas_sp.
a45ce52210fd93fe07f43f2aadc791e1,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
910f08bf8fcb34107c58d0824b13dc62,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Unassigned,Unassigned,Unassigned,Unassigned
7201cdcdd41249882b185da8380de32e,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Microthamniales,Microthamniales_X,Friedmannia,Friedmannia_israeliensis
8ec9ddb709a3bb56e16e391f6c20a833,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Helianthus,Helianthus_annuus
018c700c73cfa22e448c895cf7308a6c,Eukaryota,Amoebozoa,Discosea,Discosea_X,Flabellinia,Vannellida,Vannellidae,Vannella,Vannella_simplex
0e640624a7ce416ecff59d66af313ae6,Eukaryota,Obazoa,Opisthokonta,Fungi,Opisthosporidia,Microsporida,Microsporida_X,Unassigned,Unassigned
b0352aa0a37ff5a84ac3a8e8c2391a44,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
